event_id,path,source_uid,intent,entry_heading_deg,net_yaw_deg_db,net_yaw_deg_recomputed,absolute_yaw_deg,budget_deg,heading_quality,valid,longest_same_sign_turn_seconds,mechanical_spin_ratio,budget_violation,nonturn_mechanical_fail,metric_mismatch,motion_ok,reason
19,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000019.npy,female_36pose_2,none,0.03610508143901825,3.3835694789886475,3.38356963344877,12.432129327244205,30.0,1.0,True,0.0,0.0,False,False,False,True,
20,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000020.npy,female_36pose_2,none,0.1424683779478073,-0.7774572372436523,-0.7774572746123969,11.793870347421315,30.0,1.0,True,0.0,0.0,False,False,False,True,
21,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000021.npy,female_36pose_2,none,-0.19224774837493896,2.916518211364746,2.9165183097955363,16.52923708389657,30.0,1.0,True,0.0,0.0,False,False,False,True,
22,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000022.npy,female_36pose_2,none,0.012387425638735294,0.874661922454834,0.8746619655590796,4.873097074201739,30.0,1.0,True,0.0,0.0,False,False,False,True,
23,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000023.npy,female_36pose_2,none,-0.08385013788938522,3.428769111633301,3.4287692640549756,7.821699557293176,30.0,1.0,True,0.16666666666666666,0.1,False,False,False,True,
24,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000024.npy,female_36pose_2,none,-0.6018314957618713,-3.534329891204834,-3.5343300511209343,19.191084746855598,30.0,1.0,True,0.26666666666666666,0.15730337078651685,False,False,False,True,
25,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000025.npy,female_36pose_2,none,0.25961631536483765,8.735434532165527,8.735435434268311,33.702407327269015,30.0,1.0,True,0.8,0.3490566037735849,False,False,False,True,
26,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000026.npy,female_36pose_2,none,-0.5693331360816956,5.158515453338623,5.158515738577763,10.916170548507166,30.0,1.0,True,0.2,0.1506849315068493,False,False,False,True,
27,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000027.npy,female_36pose_2,none,-0.47962892055511475,5.525973796844482,5.525973939508925,22.991390048219646,30.0,1.0,True,0.7,0.7837837837837838,False,False,False,True,
28,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000028.npy,female_36pose_2,none,0.3105033338069916,-16.97530746459961,-16.97530820085364,19.113364024290025,30.0,1.0,True,0.9666666666666667,0.3493975903614458,False,False,False,True,
29,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000029.npy,female_36pose_2,none,0.11474032700061798,-0.07274963706731796,-0.07274963885048841,8.175565681776012,30.0,1.0,True,0.0,0.0,False,False,False,True,
30,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000030.npy,female_36pose_2,none,-0.034272074699401855,2.2192976474761963,2.219297721962512,6.529079853565916,30.0,1.0,True,0.0,0.0,False,False,False,True,
31,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000031.npy,female_36pose_2,none,-0.030611608177423477,12.687324523925781,12.687324831429745,13.986303868161109,30.0,1.0,True,0.6333333333333333,0.2375,False,False,False,True,
32,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000032.npy,female_36pose_2,none,0.04149720445275307,-3.1195709705352783,-3.1195710826401415,8.641220658630802,30.0,1.0,True,0.0,0.0,False,False,False,True,
33,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000033.npy,female_36pose_2,none,0.06898242235183716,-1.4343527555465698,-1.434352852472489,5.760366395029899,30.0,1.0,True,0.0,0.0,False,False,False,True,
34,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000034.npy,female_36pose_2,none,-0.06014688313007355,1.0912117958068848,1.0912118325338644,5.184373127228138,30.0,1.0,True,0.0,0.0,False,False,False,True,
